MONTH,Rg,T,NEE,VPD,H,LE,SW_OUT,LW_IN,LW_OUT,PREC
4.0,445.13,4.87,-5.04645,3.162,261.07,30.209,47.07,279.23,342.56,0.0
4.0,274.28,4.68,-3.27444,4.688,154.166,20.389,27.41,316.45,340.79,0.0
4.0,284.23,4.88,-3.14132,4.9860000000000015,162.838,21.912,26.9,318.42,343.0,0.0
4.0,578.81,3.83,-4.36864,4.454,317.372,48.583,55.59,269.64,338.36,0.0
4.0,548.3,4.22,-3.6712,4.811,354.575,38.87,56.34,257.0,339.46,0.0
4.0,570.14,4.57,-4.17834,5.167999999999998,426.416,54.264,58.07,246.82,342.41,0.0
4.0,582.27,4.74,-2.85062,5.358,381.422,61.22,57.12,246.76,343.16,0.0
4.0,571.06,5.0,-4.15107,5.5470000000000015,423.96,65.58,55.89,248.23,345.05,0.0
4.0,560.18,5.44,-3.78279,5.737,442.739,76.729,54.18,250.09,347.47,0.0
4.0,554.04,5.64,-4.25126,5.926,432.077,66.438,53.93,248.67,348.34,0.0
4.0,520.67,5.52,-4.32643,6.1160000000000005,344.677,49.981,50.87,253.96,347.85,0.0
4.0,537.41,5.89,-4.78417,6.305,343.0490000000001,47.861,51.98,258.49,350.01,0.0
4.0,481.92,6.04,-4.34036,6.265,373.859,60.565,47.1,257.98,349.83,0.0
4.0,486.16,1.88,-0.8079810000000001,4.082,203.822,29.325,51.75,226.42,325.0,0.0
4.0,531.48,2.2,-1.03645,4.377,288.117,26.741,56.42,227.1,327.14,0.0
4.0,564.96,2.54,-1.54856,4.673,365.538,39.074,61.37,228.3,329.78,0.0
4.0,589.65,3.01,-1.87783,4.9689999999999985,395.003,49.70399999999999,62.92,230.02,333.33,0.0
4.0,608.89,3.26,-2.64747,5.171,409.574,36.322,64.33,231.43,334.89,0.0
4.0,612.71,3.56,-2.2880700000000003,5.372999999999998,358.841,21.444000000000006,63.41,233.5,336.97,0.0
4.0,609.15,3.78,-2.58231,5.575,388.669,28.784,63.16,233.94,337.75,0.0
4.0,591.12,4.26,-2.20577,5.776,365.844,33.408,60.85,235.77,340.61,0.0
4.0,573.18,4.32,-1.979,5.978,381.354,31.2,58.62,235.85,340.43,0.0
4.0,542.14,4.36,-1.45052,6.18,355.1790000000001,33.93,56.37,235.73,340.41,0.0
4.0,498.51,4.4,-1.66972,6.079,336.57199999999995,33.808,52.22,235.59,340.01,0.0
4.0,489.12,0.13,-0.86455,3.584,245.802,16.125999999999998,51.84,223.75,316.9,0.0
4.0,532.88,0.59,-1.34396,3.867,271.91200000000003,14.242,55.84,225.3,320.27,0.0
4.0,567.82,1.2,-0.437661,4.15,301.826,37.449,59.89,225.59,324.05,0.0
4.0,594.24,1.67,-0.954742,4.433,267.138,22.518,62.71,227.76,326.57,0.0
4.0,609.63,1.97,-1.14279,4.659,245.614,8.601,63.28,230.43,328.27,0.0
4.0,613.66,2.46,-1.81845,4.885,332.83,29.394,62.69,233.02,332.13,0.0
4.0,611.18,2.97,-1.31735,5.11,367.116,42.426,62.96,233.45,333.18,0.0
4.0,593.21,3.53,-1.89427,5.336,373.175,28.984,61.18,234.75,336.16,0.0
4.0,578.04,3.86,-2.19648,5.562,349.2680000000001,27.221,59.39,235.65,336.96,0.0
4.0,547.66,4.04,-1.65953,5.7879999999999985,261.762,7.962999999999999,56.63,238.68,337.86,0.0
4.0,432.59,4.32,-1.91569,5.732,248.857,30.396,45.89,244.73,337.62,0.0
4.0,94.57,2.34,-1.67497,1.122,21.723000000000006,14.495,9.17,318.8,326.19,0.09
4.0,107.86,2.23,-1.24455,1.039,12.483,19.582,10.69,319.85,326.19,0.16
4.0,115.75,2.31,-1.25578,0.955,13.148,34.314,11.48,320.33,326.66,0.12
4.0,75.79,2.28,-1.23873,0.872,2.011,24.676,7.43,319.93,325.97,0.12
4.0,79.28,2.32,-1.13063,0.8270000000000001,-6.437,20.608,7.92,320.86,326.32,0.09
4.0,55.93,2.4,-0.5717260000000001,0.782,-17.855,31.8,5.49,322.07,326.37,0.13
4.0,52.67,2.44,-0.207744,0.737,-24.139,9.048,4.9,322.31,326.7,0.13
4.0,72.81,2.56,-0.929942,0.691,-13.548,14.23,6.8,322.78,327.36,0.13
4.0,72.0,2.71,-1.14807,0.6459999999999999,-11.936,18.293,6.83,323.09,328.23,0.17
4.0,74.48,2.79,-0.566211,0.601,-21.168000000000006,14.514,6.86,323.62,328.68,0.22
4.0,59.4,2.86,-0.817809,0.5710000000000001,-13.599,10.302,5.58,324.27,328.89,0.27
4.0,161.01,2.69,-1.96127,1.414,34.168,9.951,14.6,322.87,329.91,0.0
4.0,197.11,3.04,-3.25722,1.633,64.8,39.633,16.17,322.99,332.07,0.0
4.0,278.94,3.3,-3.22412,1.853,93.044,73.57,24.38,318.57,334.11,0.0
4.0,340.27,4.11,-5.48148,2.072,178.937,120.561,32.06,302.48,338.55,0.0
4.0,615.8,5.49,-4.40333,2.519,278.508,119.604,57.11,272.94,347.05,0.0
4.0,575.99,6.41,-5.19395,2.965,256.11400000000003,93.253,54.83,268.82,350.81,0.0
4.0,601.52,7.39,-6.40488,3.412,322.834,146.516,57.53,269.03,355.7,0.0
4.0,495.39,8.14,-3.93047,3.858,224.018,99.517,49.13,273.61,358.2,0.0
4.0,535.08,8.86,-3.905780000000001,4.305,181.047,82.321,52.56,275.16,360.75,0.0
4.0,509.06,9.34,-3.74145,4.751,197.845,71.781,51.19,277.44,362.32,0.0
4.0,489.24,9.5,-3.87074,4.775,244.972,96.621,49.19,277.15,362.53,0.0
4.0,73.36,3.05,-1.5165799999999998,0.408,-0.545,12.026,6.52,325.71,330.27,0.08
4.0,85.77,3.28,-1.66128,0.415,-4.592,31.629,6.82,326.71,331.25,0.0
4.0,79.55,3.51,-1.38275,0.421,3.193,17.545,6.4,327.82,332.39,0.01
4.0,82.53,3.64,-0.234889,0.4270000000000001,1.625,16.886,8.43,329.17,332.98,0.14
4.0,99.15,3.75,-1.45375,0.454,-3.026,19.467,10.25,329.72,333.86,0.16
4.0,98.54,3.94,-1.71331,0.482,-15.204,33.678000000000004,7.3,328.84,334.56,0.0
4.0,79.14,4.01,-1.11749,0.509,0.925,21.965,6.05,329.21,334.49,0.02
4.0,70.44,4.08,-1.02468,0.536,-3.824,18.535,4.66,329.35,334.62,0.0
4.0,59.4,4.12,-0.770806,0.563,-4.819,1.881,5.17,329.93,334.85,0.02
4.0,100.73,4.24,-2.08766,0.59,-10.652,32.475,9.44,330.47,336.06,0.25
4.0,219.79,4.55,-2.80215,0.617,24.947,43.646,20.55,323.26,338.62,0.08
4.0,138.21,4.17,-2.56868,0.6829999999999999,32.056,46.14,8.42,331.58,336.62,0.0
4.0,137.29,4.74,-2.33056,0.774,36.36,49.364,7.68,332.81,339.52,0.0
4.0,89.47,4.68,-1.82943,0.865,21.471,42.944,5.54,333.72,337.89,0.09
4.0,170.09,5.17,-3.0641,0.956,47.856,65.038,11.17,335.07,341.89,0.02
4.0,182.61,5.61,-2.43255,1.065,55.786,120.333,14.23,335.52,343.78,0.11
4.0,228.38,4.86,-4.33677,1.092,58.569,82.836,19.88,332.37,341.69,0.13
4.0,364.67,5.89,-4.4304,1.119,113.57,110.37,29.36,321.23,348.47,0.0
4.0,413.62,6.87,-4.3782,1.215,164.71900000000005,67.084,36.63,311.24,353.25,0.0
4.0,267.29,3.04,-4.08846,1.365,117.567,116.096,23.82,318.27,332.87,0.0
4.0,281.04,3.33,-4.0410900000000005,1.486,92.077,96.823,30.07,305.41,334.08,0.0
4.0,414.77,4.27,-6.717689999999998,1.607,186.065,165.884,42.32,306.27,339.92,0.0
4.0,278.61,4.27,-5.46544,1.7280000000000002,128.918,132.10399999999998,25.68,322.92,338.6,0.0
4.0,178.68,3.77,-1.6598099999999998,2.053,76.325,65.73899999999999,16.03,321.65,334.72,0.0
4.0,263.12,3.84,-5.57481,2.378,136.10299999999998,91.858,25.15,320.64,336.32,0.0
4.0,503.2,4.24,-5.67454,2.7030000000000003,236.281,89.199,47.21,299.86,340.69,0.0
4.0,347.89,4.14,-6.15615,3.679,209.497,101.231,30.93,309.01,338.07,0.0
4.0,237.73,4.17,-4.49843,3.957,157.344,90.695,21.43,314.03,337.06,0.0
4.0,521.81,3.83,-2.97499,4.013,202.495,39.553,53.15,239.65,333.87,0.0
4.0,562.06,4.4,-3.94748,4.447,248.28,76.07600000000002,55.21,242.05,337.55,0.0
4.0,594.24,4.96,-3.14442,4.881,266.758,79.889,58.59,244.5,341.31,0.0
4.0,616.09,5.3,-3.9816,5.316,291.339,83.95,63.61,246.75,344.13,0.0
4.0,633.99,5.77,-3.49465,5.553,242.65,73.89699999999998,63.27,248.82,347.11,0.0
4.0,638.27,6.25,-5.24918,5.79,311.004,108.367,63.04,250.24,350.06,0.0
4.0,636.34,6.58,-3.49651,6.028,305.321,84.85799999999998,60.75,251.07,351.84,0.0
4.0,613.83,7.06,-3.41345,6.265,314.073,76.234,60.17,253.0,354.51,0.0
4.0,585.9,7.43,-4.73979,6.502000000000002,394.655,116.393,56.87,256.53,356.42,0.0
4.0,559.95,7.99,-3.99353,6.739,284.8520000000001,80.208,53.88,260.68,357.66,0.0
4.0,453.96,7.8,-3.985430000000001,6.693,270.451,91.239,44.92,264.05,355.23,0.0
4.0,404.31,6.38,-5.78688,3.608,246.19,51.74100000000001,40.53,312.8,347.98,0.0
4.0,374.31,6.92,-5.67137,3.863,168.491,42.122,37.88,312.86,350.9,0.0
4.0,358.31,7.42,-6.25143,4.118,206.803,57.848,35.53,312.34,353.36,0.0
4.0,286.91,7.74,-4.533519999999998,4.373,115.793,39.775,27.63,318.01,354.09,0.0
4.0,300.08,8.25,-5.1941,4.668,118.682,47.542,29.0,323.35,357.36,0.0
4.0,292.25,8.78,-5.74292,4.962,135.545,49.457,28.17,326.88,359.78,0.0
4.0,245.37,8.97,-3.89297,5.256,120.541,54.681,23.56,327.51,359.79,0.0
4.0,300.75,9.56,-6.64208,5.551,130.274,55.68899999999999,28.88,326.91,363.91,0.0
4.0,245.26,9.76,-4.4936,5.845,129.311,64.267,23.74,329.61,363.51,0.0
4.0,166.27,9.42,-3.06277,6.1389999999999985,70.432,35.229,16.13,329.61,360.87,0.0
4.0,233.69,6.32,-3.80204,2.793,58.862,21.943,22.97,322.62,347.35,0.02
4.0,243.4,8.15,-4.85387,2.918,72.846,43.21100000000001,23.51,323.23,356.69,0.0
4.0,233.95,8.64,-4.90731,2.9810000000000003,94.356,50.718,22.0,328.72,358.44,0.0
4.0,138.46,8.55,-2.06274,3.181,20.127,35.081,13.15,335.62,356.72,0.0
4.0,215.08,8.94,-5.00725,3.381,89.057,43.213,19.78,327.87,359.54,0.0
4.0,270.93,9.31,-4.28838,3.5810000000000004,48.463,33.01,25.16,329.57,362.73,0.0
4.0,256.68,9.73,-3.5528,3.781,70.817,40.865,25.05,328.61,364.46,0.0
4.0,297.91,10.33,-5.48985,3.981,126.644,87.19200000000002,27.96,335.01,368.85,0.0
4.0,208.65,10.27,-3.18234,4.181,76.973,58.812,20.3,335.89,366.4,0.0
4.0,134.24,10.08,-1.72873,4.28,25.939,39.759,12.92,335.44,364.23,0.0
4.0,455.99,4.81,-5.33765,2.6060000000000003,246.845,31.67,42.18,281.31,344.71,0.0
4.0,568.11,6.05,-5.22465,3.1260000000000003,180.19,52.065,54.04,275.87,350.98,0.0
4.0,544.67,7.36,-6.21795,3.646,243.928,40.714,52.24,288.15,357.5,0.0
4.0,564.33,7.84,-4.56567,4.166,226.473,33.666,58.1,284.46,359.11,0.0
4.0,648.01,8.82,-7.70162,4.622,338.652,85.72,63.76,288.34,365.05,0.0
4.0,588.41,9.53,-6.55686,5.077,237.324,58.365,57.17,293.66,369.1,0.0
4.0,543.48,10.14,-6.48121,5.533,232.423,71.413,53.12,289.8,370.34,0.0
4.0,553.12,10.36,-5.84646,5.989,240.542,68.486,56.32,287.63,371.22,0.0
4.0,492.36,10.73,-6.41485,6.444,248.123,78.795,49.44,289.89,372.57,0.0
4.0,481.55,11.03,-5.4976,6.9,231.386,52.047,48.23,290.56,373.64,0.0
4.0,442.25,11.46,-6.4809199999999985,6.898,239.021,66.275,44.96,298.14,375.66,0.0
4.0,347.14,11.39,-4.60714,6.895,142.386,56.577,35.9,301.65,373.51,0.0
4.0,256.44,7.83,-6.30414,3.6010000000000004,147.996,65.396,26.48,327.87,356.39,0.0
4.0,290.97,8.59,-6.7876699999999985,4.081,176.532,50.083,26.92,329.27,360.64,0.0
4.0,329.1,8.9,-6.40118,4.561,154.964,46.665,30.89,330.91,363.04,0.0
4.0,407.08,9.54,-8.8219,5.042,247.371,94.963,38.98,333.1,368.42,0.0
4.0,388.54,9.76,-7.49797,5.4910000000000005,168.747,55.913,35.83,333.01,369.04,0.0
4.0,337.68,10.26,-6.52056,5.94,164.908,68.854,32.26,333.42,370.87,0.0
4.0,468.89,10.52,-7.44625,6.39,199.692,45.758,44.71,330.14,374.16,0.0
4.0,501.28,11.81,-7.154539999999999,7.2879999999999985,294.224,89.43700000000003,46.34,304.25,380.39,0.0
4.0,373.84,12.75,-6.32716,7.951,171.946,65.219,40.52,314.59,382.27,0.0
4.0,411.81,15.65,-3.89034,9.832,213.703,72.829,32.69,333.24,399.4,0.0
4.0,532.43,10.55,-5.3368699999999984,5.32,187.26,74.086,56.58,279.83,369.72,0.0
4.0,571.96,11.37,-4.26368,5.871,152.06,55.916,59.32,283.6,375.97,0.0
4.0,605.04,11.44,-6.09471,6.4220000000000015,278.056,77.2,61.72,283.31,376.67,0.0
4.0,625.71,11.74,-7.0393,6.973,304.43,90.344,64.92,284.25,379.07,0.0
4.0,645.39,11.8,-4.96257,7.2429999999999986,259.346,66.36,64.94,283.65,380.36,0.0
4.0,652.97,12.04,-5.0406900000000014,7.512,254.694,80.40100000000002,65.98,282.52,382.87,0.0
4.0,650.57,12.23,-6.00632,7.7810000000000015,290.263,85.62299999999998,64.99,281.8,383.31,0.0
4.0,632.51,12.43,-5.44706,8.05,268.706,61.04600000000001,62.96,282.66,384.12,0.0
4.0,613.86,12.98,-6.41628,8.32,281.444,105.02,60.08,283.05,386.57,0.0
4.0,584.87,12.98,-5.88162,8.589,275.974,77.488,57.89,282.45,384.96,0.0
4.0,495.51,13.03,-6.38446,8.673,255.604,79.57600000000002,50.04,283.13,383.79,0.0
4.0,567.03,4.07,-5.06341,4.369,233.458,40.567,56.2,237.66,337.56,0.0
4.0,608.31,4.59,-4.95672,4.727,249.546,46.57100000000001,59.85,239.31,341.47,0.0
4.0,640.49,5.01,-4.87443,5.085,266.016,48.698,63.09,241.61,345.51,0.0
4.0,662.21,5.56,-5.7532,5.443,305.879,35.685,67.0,243.03,349.15,0.0
4.0,681.06,5.95,-5.7957800000000015,5.681,289.528,71.956,66.61,243.65,351.8,0.0
4.0,685.52,6.24,-5.338030000000002,5.917999999999998,314.009,66.227,67.23,244.45,353.76,0.0
4.0,679.97,6.59,-6.43504,6.1560000000000015,373.608,75.915,66.07,245.24,355.24,0.0
4.0,661.37,6.61,-5.4256199999999986,6.394,309.208,58.11,64.03,246.01,355.08,0.0
4.0,642.74,7.1,-6.67063,6.6320000000000014,327.807,70.092,61.89,246.9,357.24,0.0
4.0,613.64,7.15,-4.96852,6.87,277.981,53.85,59.01,246.66,357.12,0.0
4.0,575.19,7.18,-4.90826,6.864,235.233,53.856,56.61,246.67,356.27,0.0
4.0,524.09,7.36,-4.66143,6.858,258.741,57.324,54.17,248.38,356.19,0.0
4.0,657.55,7.85,-4.41725,6.459,302.771,85.13,67.64,254.91,359.49,0.0
4.0,673.67,8.29,-4.92361,6.709,352.162,70.359,67.64,255.63,362.8,0.0
4.0,677.02,9.04,-4.23597,6.96,316.619,70.223,66.29,258.6,368.07,0.0
4.0,673.46,9.41,-4.82395,7.21,353.334,66.954,66.21,259.94,369.01,0.0
4.0,654.48,10.02,-6.56335,7.46,423.448,105.558,63.84,262.05,372.51,0.0
4.0,636.72,10.5,-5.66356,7.71,335.3540000000001,69.11399999999999,61.04,263.5,374.43,0.0
4.0,605.94,10.8,-5.04694,7.96,326.443,79.536,59.12,264.02,375.38,0.0
4.0,568.44,10.92,-4.60767,7.978,266.601,69.182,57.42,263.65,374.34,0.0
4.0,519.98,11.19,-3.55185,7.996,203.097,51.952,53.63,264.15,375.07,0.0
4.0,559.76,9.91,-4.90016,5.751,245.456,57.854,55.01,267.73,367.05,0.0
4.0,597.9,11.03,-5.50579,6.384,223.383,64.331,58.04,272.46,375.23,0.0
4.0,628.66,12.11,-5.72121,7.017,218.164,75.152,63.97,276.34,381.94,0.0
4.0,652.24,13.03,-5.53999,7.651,240.188,68.199,68.13,279.51,387.03,0.0
4.0,651.852,13.65,-5.26703,8.128,247.874,85.119,68.14,281.8,391.52,0.0
4.0,665.12,13.92,-5.69531,8.605,274.921,75.178,69.14,282.69,393.04,0.0
4.0,661.39,14.45,-5.25387,9.082,282.994,77.135,66.5,285.44,395.99,0.0
4.0,645.46,15.08,-5.92396,9.559,322.905,96.692,65.7,287.26,399.03,0.0
4.0,543.52,11.28,-6.2640699999999985,6.399,206.818,75.002,-9999.0,275.08,375.22,0.0
4.0,472.87,12.31,-6.78113,9.082,176.963,120.251,-9999.0,292.74,382.09,0.0
4.0,635.74,12.98,-8.705160000000001,9.548,221.527,116.201,-9999.0,291.95,388.57,0.0
4.0,672.92,13.44,-8.03467,10.015,330.522,119.201,-9999.0,284.36,392.51,0.0
4.0,697.82,13.91,-6.6143399999999986,10.481,281.725,109.334,-9999.0,286.55,394.92,0.0
4.0,693.59,14.36,-6.07075,10.948,250.472,88.363,-9999.0,290.55,398.26,0.0
4.0,609.31,14.63,-5.70795,11.414,221.704,73.947,-9999.0,294.59,397.21,0.0
4.0,601.45,14.8,-3.96289,11.88,219.003,66.262,-9999.0,286.79,397.55,0.0
4.0,597.94,15.26,-5.94883,11.936,307.827,97.066,-9999.0,287.27,399.42,0.0
4.0,516.13,15.22,-5.29764,11.993,306.69,97.688,-9999.0,286.34,398.39,0.0
4.0,523.93,12.23,-6.4040599999999985,7.084,158.716,72.247,56.74,287.55,380.36,0.0
4.0,550.53,12.69,-6.6467,7.86,158.532,65.851,59.89,293.36,384.53,0.0
4.0,548.47,13.44,-6.60637,8.636000000000001,193.476,44.49,56.39,300.57,389.23,0.0
4.0,520.2,13.84,-6.929989999999999,9.412,201.314,69.846,57.02,303.47,391.15,0.0
4.0,585.71,14.16,-8.3798,9.597,255.566,87.98700000000002,62.33,308.66,395.14,0.0
4.0,622.3,14.76,-7.428439999999998,9.782,274.189,117.153,61.4,312.49,399.63,0.0
4.0,491.31,14.77,-7.541289999999999,9.967,193.816,86.381,52.14,318.07,397.14,0.0
4.0,349.05,14.66,-6.3413,10.152,113.414,67.029,38.36,327.54,393.61,0.0
4.0,469.4,15.22,-8.39574,10.356,245.914,89.45,51.56,328.04,398.15,0.0
4.0,559.7,15.57,-7.5232199999999985,10.19,346.8540000000001,89.60600000000002,59.62,321.07,401.49,0.0
4.0,267.43,11.55,-5.72071,6.7429999999999986,79.212,56.914,-9999.0,329.21,374.51,0.0
4.0,373.53,11.6,-8.10692,7.292999999999998,113.188,73.132,-9999.0,318.21,377.71,0.0
4.0,290.08,12.2,-6.90623,7.8439999999999985,112.939,78.949,-9999.0,333.66,379.3,0.0
4.0,265.87,12.35,-5.3009900000000005,8.394,58.617,60.412,-9999.0,339.0,379.85,0.0
4.0,132.34,12.06,-2.70493,8.442,25.578000000000007,58.698,-9999.0,340.35,375.6,0.0
4.0,133.88,12.04,-1.72636,8.49,18.103,20.507,-9999.0,345.9,374.83,0.06
4.0,288.38,13.57,-6.79887,7.051,128.624,64.236,-9999.0,337.53,385.19,0.0
4.0,478.56,7.48,-9.17937,3.539,236.045,187.55900000000003,51.42,307.75,356.36,0.0
4.0,402.73,7.42,-7.52868,4.086,189.491,95.043,42.75,291.8,354.05,0.0
4.0,546.59,8.24,-9.10819,4.633,363.785,178.457,57.85,287.71,359.6,0.0
4.0,593.84,8.34,-8.08772,5.6160000000000005,333.7290000000001,153.78,62.74,275.7,361.3,0.0
4.0,666.68,8.8,-9.24958,6.053,378.225,129.703,69.38,278.41,366.3,0.0
4.0,679.2,9.08,-8.73377,6.489,386.107,119.916,70.04,273.07,367.89,0.0
4.0,690.76,9.53,-9.57103,6.926,441.714,155.19299999999996,70.27,275.88,369.4,0.0
4.0,647.21,9.41,-7.1489600000000015,7.362,345.28,99.022,65.35,274.25,368.8,0.0
4.0,604.69,9.36,-7.62662,7.798999999999999,343.969,94.89,63.32,275.82,368.03,0.0
4.0,590.28,9.7,-9.31442,7.697,396.222,121.214,60.51,275.13,370.32,0.0
4.0,589.07,9.6,-8.97356,7.595,414.409,118.745,62.57,276.21,369.2,0.0
4.0,522.05,4.66,-5.73801,3.549,237.58900000000003,47.034,57.85,255.18,342.28,0.0
4.0,570.61,4.71,-7.05112,3.855,277.228,48.664,61.76,262.65,344.24,0.0
4.0,561.9,5.11,-7.101539999999999,4.162,276.482,56.107,60.22,271.51,347.09,0.0
4.0,608.8,5.1,-8.16602,4.468,305.886,62.161,63.86,272.74,348.15,0.0
4.0,592.99,5.24,-7.29038,4.678,305.626,49.612,62.94,273.71,349.33,0.0
4.0,501.32,5.33,-7.626139999999999,4.888,252.318,56.715,53.36,279.2,349.52,0.0
4.0,463.87,5.36,-7.72008,5.098,222.155,58.07,49.85,279.22,348.77,0.0
4.0,468.81,5.48,-7.621410000000001,5.308,232.213,53.459,49.18,281.94,349.14,0.0
4.0,480.11,5.65,-8.887139999999997,5.518,229.181,77.602,51.51,280.12,350.27,0.0
4.0,441.39,5.61,-9.33432,5.728,201.149,70.50399999999998,45.56,285.76,349.67,0.0
4.0,447.49,5.84,-6.84927,5.649,161.762,58.601000000000006,47.99,277.89,350.52,0.0
4.0,431.12,6.05,-8.17451,5.57,185.774,71.43,46.34,281.68,350.96,0.0
5.0,540.88,3.99,-7.5522,3.055,315.038,40.074,54.06,286.49,341.58,0.0
5.0,257.21,3.8,-5.6744,3.386,164.42,36.00199999999999,27.23,304.28,337.42,0.0
5.0,267.16,3.64,-6.90813,3.716,173.408,25.394,26.28,296.47,337.1,0.0
5.0,418.63,4.32,-7.58062,4.047,260.848,48.085,42.31,295.56,343.01,0.0
5.0,233.41,4.13,-6.6239,4.312,156.04,63.198,24.88,306.33,338.72,0.0
5.0,366.56,4.48,-6.638660000000002,4.577,172.929,40.635,35.84,290.98,342.15,0.0
5.0,498.55,5.0,-7.71977,4.842,261.618,70.525,49.66,299.27,347.48,0.0
5.0,519.27,5.31,-8.24184,5.107,244.46,77.807,52.48,290.2,349.88,0.0
5.0,501.22,5.74,-5.89116,5.372000000000001,230.287,34.631,49.48,289.39,351.03,0.0
