MONTH,Rg,T,NEE,VPD,H,LE
2.0,53.75,-3.94,0.23675700000000002,0.27899999999999997,12.261,6.2773
2.0,95.55,-3.82,-0.158858,0.303,30.965,9.9837
2.0,102.44,-3.81,-0.010549,0.32799999999999996,41.153999999999996,24.025
2.0,31.41,-5.83,0.174518,0.41700000000000004,9.3251,21.395
2.0,85.54,-7.69,0.252123,0.317,32.575,13.738
2.0,52.29,-2.55,0.5362680000000001,0.145,-4.3839999999999995,19.187
2.0,82.95,-2.69,0.178926,0.188,-11.59,26.545
2.0,51.63,-2.82,0.679632,0.20199999999999999,-22.108,33.941
2.0,43.78,-2.98,0.232679,0.221,-3.0493,16.515
2.0,96.8,-4.21,0.564588,0.20600000000000002,37.537,7.8116
2.0,81.59,-4.14,0.636412,0.188,37.652,4.0842
2.0,70.61,-4.07,0.781578,0.155,35.409,4.1325
2.0,43.88,-4.06,0.028319999999999998,0.14300000000000002,25.239,-0.14157999999999998
2.0,19.95,-1.91,0.190221,0.02,12.482999999999999,-7.9717
2.0,25.7,-1.8,0.157949,0.018000000000000002,9.7543,-9.8897
2.0,27.37,-1.69,-0.059413,0.016,18.207,-8.5635
2.0,35.82,-1.54,-0.088838,0.013000000000000001,34.39,-13.640999999999998
2.0,26.34,-1.37,-0.203978,0.008,2.8256,-8.2801
2.0,25.52,-1.26,0.32191,0.008,-9.0747,-10.577
2.0,25.45,-1.92,0.021542,0.032,42.25899999999999,-8.5221
2.0,23.89,-1.9,-0.213891,0.031,23.058000000000003,-5.6404
2.0,32.23,-1.88,-0.32056,0.034,9.1056,-2.7043
2.0,39.5,-1.83,-0.40675700000000004,0.038,9.8063,-2.846
2.0,34.32,-1.84,-0.463008,0.044000000000000004,16.959,-3.2034
2.0,30.02,-1.88,-0.32869899999999996,0.05,6.1275,-0.62157
2.0,38.82,-3.16,0.39962800000000004,0.225,-1.1565,7.9951
2.0,104.25,-2.92,-0.217611,0.284,1.6673,25.276
2.0,121.03,-2.77,1.12049,0.369,-1.7889,39.472
2.0,138.42,-2.56,0.575488,0.426,17.54,48.553999999999995
2.0,128.03,-2.6,-0.362083,0.568,-8.6684,54.028
2.0,158.12,-2.6,-0.010056,0.677,10.380999999999998,74.932
2.0,127.03,-2.49,0.301426,0.7240000000000001,-2.8024,55.076
2.0,71.12,-2.61,0.528924,0.5870000000000001,-11.991,56.378
2.0,234.47,-4.98,-0.109286,0.857,46.35,27.491999999999997
2.0,201.8,-4.73,0.190896,0.887,41.946000000000005,24.377
2.0,185.07,-4.52,0.041625999999999996,0.884,33.82,20.608
2.0,92.85,-2.05,-0.064921,0.106,40.986000000000004,8.6424
2.0,63.43,-2.99,0.851893,0.16,-1.319,10.300999999999998
2.0,79.12,-2.82,0.7252689999999999,0.19,2.4885,10.097999999999999
2.0,74.15,-2.69,0.7474970000000001,0.21600000000000003,11.399000000000001,9.3171
2.0,62.57,-2.63,0.54373,0.17600000000000002,19.074,2.3022
2.0,66.28,-2.53,1.44469,0.162,11.908,9.1507
2.0,60.79,-2.45,0.930177,0.166,12.997,9.3463
2.0,52.3,-2.36,0.902804,0.155,4.6304,8.1982
2.0,45.22,-2.23,1.71733,0.14800000000000002,20.302,4.1308
2.0,51.87,-3.3,1.66875,0.217,27.483,1.8403
2.0,58.87,-3.2,-0.066039,0.23199999999999998,31.211,0.44573999999999997
2.0,64.55,-3.06,0.9732370000000001,0.256,44.861000000000004,8.4819
2.0,70.33,-2.93,0.036206,0.28300000000000003,37.986999999999995,3.66
2.0,84.5,-2.67,1.3795600000000001,0.38,36.0,9.6144
2.0,69.53,-2.59,0.764613,0.385,45.776,10.493
2.0,56.21,-2.49,1.24906,0.381,32.983000000000004,10.044
3.0,82.47,-1.94,-0.247565,0.8909999999999999,27.449,9.544
3.0,50.57,-2.47,0.648401,0.7190000000000001,38.553000000000004,17.314
3.0,69.25,-3.68,1.0228700000000002,0.907,64.141,22.956999999999997
3.0,127.29,-3.8,0.250151,1.208,94.876,23.941999999999997
3.0,130.27,-3.58,0.8346399999999999,1.3980000000000001,83.073,24.391
3.0,152.9,-4.41,0.399133,1.072,83.491,7.4942
3.0,152.8,-12.21,-0.30785300000000004,0.823,40.916,3.1266
3.0,219.54,-11.44,-0.8857299999999999,0.9259999999999999,104.67,2.5482
3.0,209.11,-10.77,-1.30162,0.993,123.28,6.7253
3.0,224.51,-10.16,0.35499,1.061,134.17,0.4213
3.0,230.79,-9.64,0.493683,1.143,124.54,5.1569
3.0,136.62,-9.68,-0.051335000000000006,1.178,54.93600000000001,8.4982
3.0,123.07,-9.28,-0.163201,1.4069999999999998,60.995,15.295
3.0,118.24,-8.76,-0.31046599999999996,1.777,61.295,10.412
3.0,187.41,-9.14,0.112355,1.085,89.583,40.189
3.0,208.82,-8.5,-1.4260700000000002,1.281,121.61,22.877
3.0,285.36,-7.89,0.359982,1.561,149.45,51.486000000000004
3.0,257.75,-7.67,0.370042,1.7309999999999999,129.84,45.162
3.0,272.61,-7.49,0.5352210000000001,1.6669999999999998,116.66,37.277
3.0,289.39,-7.12,-0.045108999999999996,1.8719999999999999,133.72,40.073
3.0,300.09,-6.93,0.512017,2.053,174.77,52.623999999999995
3.0,258.31,-6.61,0.714713,2.096,140.86,40.979
3.0,292.68,-13.17,-0.44523,0.42,69.883,12.478
3.0,220.07,-12.19,0.50135,0.516,74.021,18.156
3.0,198.48,-11.63,0.06755,0.595,62.608999999999995,7.1135
3.0,220.89,-10.78,0.09103,0.7070000000000001,119.56,3.8615
3.0,194.51,-10.04,-1.1108,0.805,121.28,10.466
3.0,172.82,-9.24,-0.005963,0.958,126.54,13.953
3.0,125.1,-8.95,0.143431,0.965,70.015,14.078
3.0,95.85,-9.12,0.188296,0.6579999999999999,50.676,16.422
3.0,87.41,-4.98,0.25185799999999997,0.255,22.866,21.999000000000002
3.0,71.66,-4.78,-0.248908,0.251,28.127,2.4505
3.0,108.1,-4.42,-0.15833,0.264,24.586,8.6337
3.0,90.06,-4.08,-0.079292,0.294,23.093000000000004,4.1309
3.0,100.04,-1.4,-0.402387,0.149,-4.1729,17.59
3.0,100.75,-1.3,0.549188,0.188,-7.7917,23.614
3.0,66.31,-0.95,-0.41198100000000004,0.21100000000000002,20.493000000000002,7.9154
3.0,327.15,-0.28,0.02634,0.331,36.672,14.51
3.0,146.01,-0.04,-0.574362,0.562,19.061,60.397
3.0,191.14,0.02,-0.550769,0.598,-16.492,86.40700000000001
3.0,333.33,-6.44,0.534222,1.3159999999999998,130.88,56.272
3.0,363.3,-5.94,0.42110699999999995,1.482,218.25,47.693000000000005
3.0,383.16,-5.55,-0.21017800000000003,1.6540000000000001,209.5,45.861999999999995
3.0,203.62,-5.7,1.14111,1.775,103.5,30.023000000000003
3.0,252.65,-7.8,0.20182,0.535,54.559,17.067999999999998
3.0,364.13,-6.7,-0.501,0.76,132.41,28.383000000000003
3.0,389.54,-5.89,0.157845,0.948,163.05,42.52
3.0,390.73,-4.49,0.591878,2.019,204.87,102.78
3.0,370.86,-4.57,1.32355,2.431,169.35,111.86
3.0,345.26,-4.62,1.18518,2.525,179.23,77.318
3.0,310.16,-4.66,1.2432299999999998,2.488,194.81,46.192
3.0,350.24,-10.5,-0.351181,0.87,101.01,26.518
3.0,378.75,-9.7,-0.7844800000000001,1.158,128.14,12.21
3.0,399.36,-8.78,0.23966700000000002,1.463,149.51,14.837
3.0,406.17,-8.54,0.043649,1.5519999999999998,182.72,8.1602
3.0,397.1,-8.06,0.368288,1.621,173.31,10.722000000000001
3.0,397.46,-7.82,-0.21019200000000002,1.6880000000000002,172.38,11.776
3.0,382.71,-7.37,0.272919,1.811,223.77,12.640999999999998
3.0,288.62,-7.27,-0.241957,1.828,164.83,10.274000000000001
3.0,335.57,-7.04,0.356734,1.9,146.16,12.129000000000001
3.0,354.53,-9.78,0.44656,1.173,88.2,38.795
3.0,388.87,-9.37,0.791037,1.2670000000000001,201.19,18.923
3.0,408.95,-8.93,0.434774,1.425,198.8,16.462
3.0,418.88,-8.22,-0.199749,1.742,134.71,18.278
3.0,413.97,-7.38,-0.039599,2.074,179.83,23.221
3.0,409.53,-6.81,0.78076,2.165,248.3,19.674
3.0,390.34,-6.58,1.2572299999999998,2.1719999999999997,204.15,14.763
3.0,359.07,-6.45,1.3219999999999998,2.108,245.12,24.145
3.0,324.28,-6.27,0.25104299999999996,2.09,184.16,12.047
3.0,317.32,-6.69,-0.27065,0.845,114.31,29.676
3.0,328.18,-6.03,0.258006,1.088,125.4,41.181000000000004
3.0,386.29,-5.66,0.327943,1.367,117.99,35.864000000000004
3.0,282.72,-5.54,-0.371492,1.505,118.44,9.0918
3.0,396.46,-4.23,0.445126,2.565,241.21,14.991
3.0,362.03,-4.0,0.530914,2.6719999999999997,215.33,13.345999999999998
3.0,328.2,-3.99,0.243351,2.805,157.53,8.1089
3.0,191.68,-7.83,0.957205,0.5379999999999999,69.04,-1.3307
3.0,213.07,-7.13,0.36995,0.544,100.74,15.999
3.0,302.86,-5.95,-1.26995,0.682,157.96,31.058000000000003
3.0,268.31,-5.27,-1.30663,0.8690000000000001,150.16,33.429
3.0,196.83,-5.01,0.319361,0.885,82.53200000000001,44.839
3.0,101.19,-4.78,-0.726509,0.965,35.992,17.684
3.0,220.14,-11.62,0.604441,0.5,101.65,33.830999999999996
3.0,226.86,-11.25,0.33383,0.562,130.19,52.574
3.0,237.09,-11.1,-0.299714,0.588,94.073,35.353
3.0,270.79,-10.73,0.34525,0.613,119.95,46.641999999999996
3.0,283.21,-10.06,-0.258773,0.64,126.12,50.903
3.0,261.84,-9.59,0.174938,0.6459999999999999,96.41799999999999,47.835
3.0,244.55,-9.45,0.729445,0.726,91.434,56.091
3.0,251.07,-9.25,0.8995540000000001,0.799,130.42,76.37100000000001
3.0,264.05,-9.17,1.0931,0.93,106.4,83.11399999999999
3.0,241.01,-10.16,0.14812999999999998,0.737,61.051,41.423
3.0,219.47,-9.11,0.280026,1.058,69.357,72.483
3.0,180.46,-8.53,0.049996,1.295,51.602,47.588
3.0,194.08,-8.5,0.310517,1.218,75.488,35.979
3.0,268.72,-8.31,-0.84559,1.2429999999999999,117.04,42.022
3.0,208.0,-7.92,0.623885,1.45,67.422,35.02
3.0,182.76,-8.11,-0.530015,0.977,70.15100000000001,44.4
3.0,183.21,-8.08,0.43844399999999994,0.6990000000000001,98.803,31.985
3.0,353.82,-7.31,-0.37439,0.9790000000000001,77.074,24.121
3.0,390.59,-6.0,-0.49533,1.217,91.605,25.483
3.0,425.24,-5.22,0.97998,1.409,93.712,36.55
3.0,446.62,-4.36,1.17461,1.5219999999999998,129.05,39.766999999999996
3.0,456.34,-3.56,0.275212,1.7819999999999998,135.03,51.693000000000005
3.0,455.42,-2.95,1.67061,2.278,149.43,93.66799999999999
3.0,447.34,-2.56,0.11427899999999999,2.596,112.33,74.74600000000001
3.0,425.98,-2.05,0.645922,2.8689999999999998,110.87,80.173
3.0,397.56,-1.81,0.5633699999999999,2.986,105.23,64.44800000000001
3.0,356.15,-1.62,0.604543,2.9760000000000004,100.54,57.486999999999995
3.0,360.65,-4.11,0.7134739999999999,1.7280000000000002,104.16,26.046
3.0,397.9,-3.45,0.195379,2.045,125.17,21.261
3.0,430.23,-2.97,0.13480599999999998,2.469,119.18,13.065
3.0,451.63,-2.64,0.45842,2.992,161.91,14.099
3.0,461.45,-2.12,0.050366,3.534,128.75,43.75
3.0,457.04,-1.8,0.9553219999999999,3.662,183.11,40.747
3.0,400.63,-1.14,0.631158,3.9189999999999996,150.02,28.686
3.0,359.46,-0.97,0.775988,4.02,126.81,34.434
3.0,406.49,-7.32,-0.42616899999999996,1.827,194.93,7.534
3.0,437.75,-6.5,0.61832,2.082,237.08,18.389
3.0,457.64,-5.77,-0.2712,2.3,258.37,15.777000000000001
3.0,468.73,-5.33,-0.46688999999999997,2.416,325.3,15.047
3.0,462.06,-4.87,-0.12911199999999998,2.528,291.83,9.7781
3.0,455.16,-4.64,-0.033474000000000004,2.6,315.43,11.575
3.0,434.28,-4.29,0.104973,2.7230000000000003,244.16,10.698
3.0,405.73,-3.88,0.943053,2.846,246.49,18.475
3.0,363.95,-3.66,0.267851,2.887,209.86,12.527999999999999
3.0,388.82,-11.66,0.27254,1.09,157.14,6.7194
3.0,429.04,-10.87,-0.7161,1.2830000000000001,224.43,8.6344
3.0,460.87,-9.77,-0.5944560000000001,1.608,209.57,21.073
3.0,479.06,-8.69,-1.4445,1.9269999999999998,286.67,15.645999999999999
3.0,493.79,-7.42,-0.50055,2.504,302.01,26.646
3.0,471.99,-6.91,-0.41053599999999996,2.7489999999999997,298.39,16.164
3.0,480.72,-6.46,-0.481152,2.887,289.79,12.790999999999999
3.0,462.74,-6.06,0.08062899999999999,2.9960000000000004,330.33,17.202
3.0,432.07,-6.13,-0.27064,2.927,309.97,13.048
3.0,388.18,-5.91,-0.16381800000000002,3.015,236.08,14.652999999999999
3.0,274.28,-9.21,-0.6845289999999999,1.662,222.71,10.093
3.0,338.32,-8.33,-0.7026979999999999,1.868,288.8,10.517000000000001
3.0,418.55,-7.81,0.531842,2.015,280.18,21.986
3.0,369.56,-7.78,0.21936999999999998,2.037,315.3,12.050999999999998
3.0,413.01,-7.41,-0.253367,2.117,326.81,13.76
3.0,509.26,-6.86,0.386789,2.303,352.04,16.914
3.0,410.8,-6.98,-0.30699699999999996,2.2680000000000002,295.84,14.731
3.0,430.03,-6.41,0.288019,2.459,381.87,24.23
3.0,353.04,-6.9,0.682725,2.397,293.28,16.832
3.0,247.87,-6.93,-0.488231,2.366,156.53,10.64
3.0,418.84,-4.13,0.224322,3.3930000000000002,256.58,26.75
3.0,441.74,-3.36,0.08126,3.5989999999999998,258.65,28.962
3.0,470.68,-3.08,0.100935,3.659,277.24,16.698
3.0,500.07,-2.69,-0.576044,3.7960000000000003,288.02,20.732
3.0,511.03,-2.06,0.230875,4.025,303.39,27.038
3.0,472.86,-1.7,0.8187439999999999,4.1419999999999995,336.93,26.796999999999997
3.0,401.21,-7.99,-0.9312799999999999,1.597,223.65,5.0472
3.0,438.11,-7.12,-0.12439000000000001,2.169,274.38,26.143
3.0,471.34,-6.75,0.155122,2.35,295.74,18.391
3.0,491.18,-6.28,0.015434,2.544,299.44,16.775
3.0,501.19,-5.94,0.102015,2.673,298.33,5.5983
3.0,493.53,-5.36,0.404353,2.83,322.79,16.944000000000003
3.0,468.22,-5.35,0.165002,2.824,309.15,14.889000000000001
3.0,355.49,-5.47,0.679095,2.733,192.13,8.9597
3.0,306.9,-5.52,0.44181899999999996,2.655,173.77,17.312
3.0,364.13,-5.25,0.076758,2.7680000000000002,224.19,12.703
3.0,397.93,-10.89,-1.30033,1.251,147.53,6.2521
3.0,406.48,-9.92,-0.35331799999999997,1.43,163.12,7.8075
3.0,422.68,-9.37,-0.778354,1.5030000000000001,188.61,3.7014
3.0,481.33,-8.27,-1.13304,1.6680000000000001,262.35,4.4567
3.0,501.92,-7.47,0.358363,1.7409999999999999,252.7,14.344000000000001
3.0,494.61,-6.73,0.131719,1.8130000000000002,223.06,5.6107
3.0,492.7,-6.14,-0.170228,1.9180000000000001,256.39,8.9326
3.0,407.82,-5.71,-0.098351,1.984,272.75,9.8228
3.0,441.22,-4.86,-0.172123,2.121,228.63,10.618
3.0,309.69,-5.04,1.46107,1.955,205.9,20.636
3.0,414.71,-5.31,-0.5581510000000001,1.114,193.9,15.847999999999999
3.0,436.2,-4.42,-0.30813,1.368,191.32,13.572000000000001
3.0,468.4,-3.84,-0.187299,1.595,212.18,10.18
3.0,507.65,-3.24,0.319112,1.874,215.93,17.63
3.0,283.72,-3.01,-0.12558,2.041,81.26100000000001,3.7821
3.0,320.18,-2.6,0.002755,2.492,115.7,19.63
3.0,189.03,-2.64,0.12826400000000002,2.47,66.633,-6.81
3.0,227.8,-2.7,0.208684,2.306,76.678,15.49
3.0,281.88,-2.39,0.34120300000000003,2.52,112.4,5.7442
3.0,245.67,-2.36,0.429163,2.372,126.37,20.331
3.0,294.11,-3.09,0.568796,2.16,91.33,8.6553
3.0,290.1,-2.43,-0.35073899999999997,2.32,91.54700000000001,11.616
3.0,319.19,-1.61,-0.169141,2.582,53.441,4.1388
3.0,341.15,-0.88,-0.378564,2.805,164.03,15.811
3.0,368.62,-0.22,-0.378323,3.102,167.66,8.6109
3.0,436.51,-0.04,-0.257929,3.248,197.43,10.812999999999999
3.0,501.57,0.38,0.31033,3.37,212.32,11.87
3.0,478.02,0.79,-0.164801,3.529,211.41,11.955
3.0,411.56,1.83,-0.36829,3.964,202.79,17.006
3.0,418.59,-1.22,0.149277,2.543,165.96,13.294
3.0,452.29,0.03,-1.0658299999999998,3.0839999999999996,207.87,7.0702
3.0,482.86,0.67,0.014288,3.386,198.24,10.593
3.0,500.81,1.18,-0.187682,3.5660000000000003,270.41,12.454
3.0,510.12,1.77,1.89725,3.824,259.63,16.382
3.0,504.61,2.12,-0.113785,3.9589999999999996,346.42,30.412
3.0,515.3,2.6,0.21811,4.166,213.83,15.064
3.0,326.21,2.67,1.1730200000000002,4.209,179.92,16.895
3.0,139.21,1.75,1.00613,3.5069999999999997,92.98200000000001,10.72
3.0,435.46,-3.3,-0.43282,2.294,102.66,10.207
3.0,470.43,-2.44,-0.5413100000000001,2.698,107.75,10.41
3.0,503.0,-1.62,-0.10032100000000001,3.051,215.56,20.898000000000003
3.0,523.98,-1.2,0.068478,3.392,243.42,19.351
3.0,530.15,-0.86,0.591567,3.603,248.2,25.799
3.0,524.95,-0.43,0.098428,3.858,279.99,26.061
3.0,518.44,-0.25,-0.221821,4.003,204.32,8.4586
3.0,488.96,-0.03,0.571113,4.093,235.85,21.08
3.0,448.44,0.13,0.20626599999999998,4.128,267.18,17.84
3.0,430.89,0.35,0.06765499999999999,4.303999999999999,194.58,11.081
3.0,290.01,-1.96,-0.37048200000000003,2.9960000000000004,107.96,6.4858
3.0,472.12,-1.21,-0.203413,3.272,207.83,12.673
3.0,501.08,-0.4,1.01605,3.5269999999999997,228.64,18.495
3.0,521.69,0.29,0.45467399999999997,3.759,217.07,15.745
3.0,529.16,0.99,-0.421292,4.004,214.17,15.552
3.0,525.06,1.68,0.59377,4.199,198.0,9.8056
3.0,518.04,1.98,-0.22767600000000002,4.245,241.91,25.463
3.0,468.92,2.7,-0.36509899999999995,4.488,179.49,12.6
3.0,427.26,3.2,0.8025939999999999,4.66,167.18,20.275
3.0,218.63,-0.86,1.84874,1.959,41.778999999999996,15.29
3.0,500.88,1.03,1.07697,2.94,231.6,16.965999999999998
3.0,441.78,1.28,0.960943,3.051,205.07,14.208
3.0,530.57,1.72,-0.074807,3.261,230.19,13.372
3.0,530.71,2.28,-1.01134,3.532,244.86,7.6403
3.0,464.22,2.63,0.900647,3.7489999999999997,256.58,28.061
3.0,524.58,3.25,0.559365,4.137,259.29,23.221
3.0,387.86,3.27,1.5176,4.226,168.11,25.752
3.0,150.69,2.32,1.16821,3.495,65.53699999999999,20.459
3.0,526.46,-0.99,-0.508081,3.931,270.75,10.43
3.0,547.52,-0.67,0.668845,4.041,327.48,19.092
3.0,543.17,0.57,-0.272989,4.811,288.32,8.7878
3.0,521.78,0.82,-0.102698,4.944,330.08,29.464000000000002
3.0,452.07,1.14,0.38816100000000003,5.37,208.85,25.869
3.0,503.37,0.1,0.22228499999999998,4.112,261.66,12.040999999999999
3.0,532.77,0.53,-0.020350999999999998,4.273,280.25,18.213
3.0,541.17,0.92,-0.622654,4.473,304.49,28.473000000000003
3.0,548.63,1.18,0.6708109999999999,4.58,271.82,29.127
3.0,546.87,1.47,1.41482,4.74,373.59,45.867
3.0,523.17,1.54,0.18640299999999999,4.789,260.97,19.7
3.0,509.62,1.7,0.448032,4.862,255.49,14.925999999999998
3.0,449.53,1.97,0.511699,5.01,274.19,25.508000000000003
3.0,468.11,-0.34,0.03045,3.565,278.63,14.427
3.0,555.02,1.54,-0.001715,4.357,248.02,12.606
3.0,564.38,1.77,0.652516,4.541,270.72,24.662
3.0,556.42,2.18,0.864359,4.766,283.52,20.835
3.0,553.09,2.24,-0.07403799999999999,4.852,247.42,17.199
3.0,499.96,2.28,0.9778690000000001,4.923,236.83,17.48
3.0,455.43,2.48,0.474696,4.995,242.0,20.073
4.0,470.68,0.67,0.170709,3.781,262.16,9.8538
4.0,540.04,1.33,-0.085629,4.01,299.43,16.382
4.0,570.96,1.73,0.7328399999999999,4.184,307.56,21.85
4.0,479.04,2.12,0.481892,4.46,276.57,19.26
4.0,443.52,2.23,-0.204602,4.516,242.09,18.022000000000002
4.0,468.75,2.48,0.5710529999999999,4.6930000000000005,254.42,23.046999999999997
4.0,360.38,2.35,0.374515,4.631,134.43,12.152999999999999
4.0,267.42,2.71,0.595742,4.762,131.11,16.887999999999998
4.0,484.99,-0.07,0.091725,3.1060000000000003,190.4,18.226
4.0,519.8,0.59,-0.136353,3.5269999999999997,249.76,14.841
4.0,545.28,1.31,-0.9083479999999999,3.969,241.05,14.049000000000001
4.0,565.39,2.26,0.278352,4.59,270.73,31.041
4.0,572.07,3.0,-0.16399999999999998,5.167999999999999,253.59,20.522
4.0,533.72,3.49,1.3827399999999999,5.355,282.26,43.333999999999996
4.0,423.6,3.77,0.674798,5.167999999999999,252.84,25.070999999999998
4.0,392.89,3.58,0.9630850000000001,4.831,204.25,6.0758
4.0,227.42,3.12,0.567763,4.441,110.04,20.862
4.0,420.49,3.21,1.0022799999999998,4.703,196.31,62.62
4.0,526.48,0.26,0.05611,3.872,263.18,27.764
4.0,553.21,1.01,0.673355,4.288,313.8,38.251
4.0,573.38,1.21,0.677449,4.488,338.79,27.825
4.0,579.6,1.69,0.232818,4.743,284.4,36.823
4.0,575.48,1.92,0.8853469999999999,4.8839999999999995,294.56,31.581999999999997
4.0,555.29,2.38,0.8854120000000001,5.132999999999999,315.35,38.655
4.0,542.76,2.58,0.407354,5.142,340.9,46.253
4.0,513.14,2.69,0.401859,5.246,295.62,24.478
4.0,471.63,2.99,0.175261,5.367000000000001,273.13,29.754
4.0,302.17,1.0,0.131902,2.678,115.19,12.113
4.0,492.8,1.87,-0.461503,3.073,187.16,10.508
4.0,377.65,2.44,0.809582,3.3169999999999997,159.59,25.115
4.0,471.74,3.27,-0.35418,3.825,204.55,13.699000000000002
4.0,413.26,4.17,-0.182304,4.4239999999999995,210.51,17.221
4.0,566.15,5.06,-0.46167299999999994,5.032,236.79,12.184000000000001
4.0,562.57,5.58,-0.512993,5.417999999999999,326.75,11.404000000000002
4.0,486.94,5.73,1.37398,5.457999999999999,235.83,14.64
4.0,527.56,5.82,0.195658,5.496,195.18,10.182
4.0,495.0,6.51,0.321195,5.956,215.46,11.338
4.0,449.36,1.59,-1.33455,3.6319999999999997,216.87,12.592
4.0,494.17,2.17,-0.219248,3.898,246.99,12.633
4.0,557.31,2.92,0.513889,4.34,289.77,25.574
4.0,579.37,3.12,-0.5009279999999999,4.567,219.89,9.347000000000001
4.0,584.78,3.54,-0.299178,4.99,202.21,23.714000000000002
4.0,584.86,3.65,0.037631,5.221,226.93,22.685
4.0,566.33,3.98,0.1244,5.5729999999999995,239.85,19.302
4.0,553.82,4.32,0.42334799999999995,5.803,261.59,30.715
4.0,525.97,4.15,0.6425390000000001,5.832000000000001,230.18,32.595
4.0,482.79,4.26,0.429511,5.94,203.22,11.742
4.0,465.0,-2.31,-0.219077,2.316,137.04,9.3832
4.0,509.79,-1.38,0.530654,2.801,218.39,27.281
4.0,549.38,-0.96,-0.653671,3.301,250.3,17.815
4.0,600.79,0.6,0.19103399999999998,4.453,332.97,25.674
4.0,597.71,0.81,0.212412,4.592,310.59,34.411
4.0,582.0,1.13,0.251737,4.797,337.64,35.916
4.0,567.64,1.06,0.12016199999999999,4.73,296.65,12.863
4.0,535.71,1.31,-0.2323,4.881,263.37,22.434
4.0,493.3,1.49,0.32702,5.008,305.58,27.468000000000004
4.0,329.59,-1.08,-0.165026,3.341,116.49,12.189
4.0,351.35,-0.56,-0.42454,3.552,181.88,16.410999999999998
4.0,324.98,-0.36,0.486832,3.6319999999999997,167.61,24.851
